Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Myanmar,MMR,67220788884.038445,70067853117.70686,77079034297.6839,91380692576.38692,104510881412.27151,120684812607.3088,139434148159.24432,164136197706.47156,197466699272.00558,226564639239.94327,266603918614.66437,299096404912.4363,313391687537.69727,335711279477.46967,351889403786.33655,352917827808.77954
Namibia,NAM,17347661635.765152,17000632384.658983,17463652589.41475,20577565536.86928,24869861895.09144,27196983399.600494,30741855957.738297,32702268015.19544,33636053429.223755,34182785799.46163,38128897415.349724,42252615939.30061,45468323643.06425,47204410168.203094,49583741160.706,48614342919.83863
Nauru,NRU,129993198.84319359,119811277.46146344,108944755.29665308,115493520.51549667,125321382.78603798,129605008.48790945,139908755.38591573,113629907.58446492,144562581.3587081,157048459.04782864,173193489.46814978,232851419.2729809,317998024.1404793,348367520.20410854,317674510.1661764,391288707.21186894
Nepal,NPL,46252408055.00599,49348465543.823746,50143416741.565895,53271031339.69764,57940267906.321686,62374419444.92657,67378042073.52321,72763509032.4518,80785004511.6685,85413449571.24321,93402279867.4542,104636523451.30788,114650150496.59236,123102997156.41147,131953570869.71367,136114915380.80399
Netherlands,NLD,1447098710128.8271,1434158707898.272,1475203603892.3325,1667254814356.591,1987463138495.82,2247604060304.9854,2672960257224.461,2968495452406.575,2818991267779.859,2771892588180.2983,2663274853517.714,2983927864301.182,2827255838385.4785,2981680456317.9775,2779597297925.774,2872632467725.7705
New Caledonia,NCL,6239808370.113545,3301319964.998137,3763204895.365366,4950416397.557077,5927496197.120533,6297210316.831894,7060183300.488027,8882673541.970121,9199630212.343502,8855465212.412182,9523377805.984346,10479830217.388714,9831004587.261753,10274360830.251724,10741569476.845222,8825176666.747074
New Zealand,NZL,181196853383.03995,190026878824.32825,211707985032.67264,249704640463.39764,290010981019.1622,319234753996.01874,330407962455.21136,375830897022.67334,374292750143.7159,374182024802.97327,406227288332.5962,446925061272.8108,477978931952.5501,522339998237.3993,553453373579.461,533572087293.46375
Nicaragua,NIC,30366514328.273323,30923961476.385014,31291180592.315712,32757195921.678154,33308526779.30794,35684767479.846375,36798415912.21463,39572126676.742485,43112841001.93394,43435657046.1629,46871458524.08667,51489353251.477066,55313860920.886,58773326081.86566,63776181454.88365,68313754217.99058
Niger,NER,15699318022.617659,16809021964.453005,18173935548.022472,19907206729.363724,21226828377.43351,23942891950.912464,24782948092.163322,27392262025.146667,31352723771.958736,32944914862.192894,36244670863.81803,39520510285.34919,42516076480.492485,44946751940.164024,47740426769.74643,47716059099.171875
Nigeria,NGA,102814391615.21214,108666177988.37473,131969306810.51991,146745781956.22293,181838486091.70892,209554051184.98108,256518090739.19614,298821287309.8679,1255970805755.262,1282438682776.5632,1445291688470.5964,1566621007622.4197,1716003672873.7712,1891724905274.0557,2099999277948.0088,2030220921319.2996
